,Date,Country,Confirmed,Death,Recovered,Active
0,2003-03-17,Germany,1,0,0,1
1,2003-03-17,Canada,8,2,0,6
2,2003-03-17,Singapore,20,0,0,20
3,2003-03-17,"Hong Kong SAR, China",95,1,0,94
4,2003-03-17,Switzerland,2,0,0,2
5,2003-03-17,Thailand,1,0,0,1
6,2003-03-17,Viet Nam,40,1,0,39
7,2003-03-18,Germany,2,0,0,2
8,2003-03-18,Canada,8,2,0,6
9,2003-03-18,China,0,0,0,0
10,2003-03-18,Singapore,23,0,0,23
11,2003-03-18,"Hong Kong SAR, China",123,1,0,122
12,2003-03-18,"Taiwan, China",3,0,0,3
13,2003-03-18,Thailand,1,0,0,1
14,2003-03-18,Viet Nam,57,1,0,56
15,2003-03-18,Slovenia,1,0,0,1
16,2003-03-18,United Kingdom,1,0,0,1
17,2003-03-19,Canada,8,2,0,6
18,2003-03-19,China,0,0,0,0
19,2003-03-19,Germany,1,0,0,1
20,2003-03-19,"Hong Kong SAR, China",150,5,0,145
21,2003-03-19,Singapore,31,0,0,31
22,2003-03-19,Slovenia,1,0,0,1
23,2003-03-19,Spain,1,0,0,1
24,2003-03-19,"Taiwan, China",3,0,0,3
25,2003-03-19,Thailand,1,0,0,1
26,2003-03-19,United Kingdom,1,0,0,1
27,2003-03-19,United States,11,0,0,11
28,2003-03-19,Viet Nam,56,2,0,54
29,2003-03-20,Canada,9,2,0,7
30,2003-03-20,China,0,0,0,0
31,2003-03-20,Germany,1,0,0,1
32,2003-03-20,"Hong Kong SAR, China",173,6,0,167
33,2003-03-20,Singapore,34,0,0,34
34,2003-03-20,Slovenia,1,0,0,1
35,2003-03-20,Spain,1,0,0,1
36,2003-03-20,Switzerland,7,0,0,7
37,2003-03-20,"Taiwan, China",4,0,0,4
38,2003-03-20,Thailand,1,0,0,1
39,2003-03-20,United Kingdom,2,0,0,2
40,2003-03-20,United States,11,0,0,11
41,2003-03-20,Viet Nam,62,2,0,60
42,2003-03-21,Canada,9,2,0,7
43,2003-03-21,China,0,0,0,0
44,2003-03-21,Germany,1,0,0,1
45,2003-03-21,"Hong Kong SAR, China",203,6,0,197
46,2003-03-21,Italy,1,0,0,1
47,2003-03-21,Republic of Ireland,1,0,0,1
48,2003-03-21,Singapore,39,0,0,39
49,2003-03-21,Slovenia,1,0,0,1
50,2003-03-21,Spain,1,0,0,1
51,2003-03-21,Switzerland,7,0,0,7
52,2003-03-21,"Taiwan, China",6,0,0,6
53,2003-03-21,Thailand,4,0,0,4
54,2003-03-21,United Kingdom,2,0,0,2
55,2003-03-21,United States,13,0,0,13
56,2003-03-21,Viet Nam,62,2,0,60
57,2003-03-22,Canada,9,2,0,7
58,2003-03-22,China,0,0,0,0
59,2003-03-22,Germany,2,0,0,2
60,2003-03-22,"Hong Kong SAR, China",222,7,0,215
61,2003-03-22,Italy,2,0,0,2
62,2003-03-22,Republic of Ireland,1,0,0,1
63,2003-03-22,Singapore,44,0,0,44
64,2003-03-22,Slovenia,1,0,0,1
65,2003-03-22,Spain,1,0,0,1
66,2003-03-22,Switzerland,7,0,0,7
67,2003-03-22,"Taiwan, China",6,0,0,6
68,2003-03-22,Thailand,4,0,0,4
69,2003-03-22,United Kingdom,2,0,0,2
70,2003-03-22,United States,22,0,0,22
71,2003-03-22,Viet Nam,63,2,0,61
72,2003-03-24,Canada,11,3,0,8
73,2003-03-24,China,0,0,0,0
74,2003-03-24,France,1,0,0,1
75,2003-03-24,Germany,4,0,0,4
76,2003-03-24,"Hong Kong SAR, China",260,10,0,250
77,2003-03-24,Italy,2,0,0,2
78,2003-03-24,Republic of Ireland,1,0,0,1
79,2003-03-24,Singapore,65,0,0,65
80,2003-03-24,Spain,1,0,0,1
81,2003-03-24,Switzerland,2,0,0,2
82,2003-03-24,"Taiwan, China",6,0,0,6
83,2003-03-24,Thailand,5,0,0,5
84,2003-03-24,United Kingdom,3,0,0,3
85,2003-03-24,United States,37,0,0,37
86,2003-03-24,Viet Nam,58,4,0,54
87,2003-03-25,Canada,11,3,0,8
88,2003-03-25,China,0,0,0,0
89,2003-03-25,France,1,0,0,1
90,2003-03-25,Germany,4,0,0,4
